Date,Vessel ID/ Length,Surveyor,Port,Area fished,% of total catch surveyed,Gear Type,No. of gears,Species ID,Species common name,% of individuals sampled out of total,Length (cm),Length Type,Weight (kg)
6/15/2015,Everytime,LT/KS,John Ogarro processing shop,8 or 9,,POT,,LUTJSY,Lane Snapper,,26,FL,0.36
6/15/2015,Everytime,LT/KS,John Ogarro processing shop,8 or 9,,POT,,LUTJSY,Lane Snapper,,23.5,FL,0.22
6/15/2015,Everytime,LT/KS,John Ogarro processing shop,8 or 9,,POT,,LUTJSY,Lane Snapper,,28.5,FL,0.36
6/15/2015,Everytime,LT/KS,John Ogarro processing shop,8 or 9,,POT,,LUTJSY,Lane Snapper,,26,FL,0.36
6/15/2015,Everytime,LT/KS,John Ogarro processing shop,8 or 9,,POT,,LUTJSY,Lane Snapper,,30.5,FL,0.47
6/15/2015,Everytime,LT/KS,John Ogarro processing shop,8 or 9,,POT,,LUTJSY,Lane Snapper,,30,FL,0.46
6/15/2015,Everytime,LT/KS,John Ogarro processing shop,8 or 9,,POT,,LUTJSY,Lane Snapper,,25,FL,0.28
6/18/2015,Everytime,LL/KS,Little Bay,8,100,Pot,12,LUTJSY,Lane Snapper,100,26.5,FL,
6/18/2015,Everytime,LL/KS,Little Bay,8,100,Pot,12,LUTJSY,Lane Snapper,100,24.5,FL,
6/18/2015,Everytime,LL/KS,Little Bay,8,100,Pot,12,LUTJSY,Lane Snapper,100,26.5,FL,
6/18/2015,Everytime,LL/KS,Little Bay,8,100,Pot,12,LUTJSY,Lane Snapper,100,26,FL,0.25
6/18/2015,Everytime,LL/KS,Little Bay,8,100,Pot,12,LUTJSY,Lane Snapper,100,26.5,FL,0.29
6/18/2015,Everytime,LL/KS,Little Bay,8,100,Pot,12,LUTJSY,Lane Snapper,100,24.5,FL,0.07
6/18/2015,Everytime,LL/KS,Little Bay,8,100,Pot,12,LUTJSY,Lane Snapper,100,24.5,FL,0.22
6/18/2015,Everytime,LL/KS,Little Bay,8,100,Pot,12,LUTJSY,Lane Snapper,100,26,FL,0.29
6/18/2015,Everytime,LL/KS,Little Bay,8,100,Pot,12,LUTJSY,Lane Snapper,100,25,FL,0.23
6/18/2015,Everytime,LL/KS,Little Bay,8,100,Pot,12,LUTJSY,Lane Snapper,100,23.5,FL,0.19
6/18/2015,Everytime,LL/KS,Little Bay,8,100,Pot,12,LUTJSY,Lane Snapper,100,23.5,FL,0.27
6/18/2015,Everytime,LL/KS,Little Bay,8,100,Pot,12,LUTJSY,Lane Snapper,100,23,FL,0.1
6/18/2015,Everytime,LL/KS,Little Bay,8,100,Pot,12,LUTJSY,Lane Snapper,100,24,FL,0.07
6/18/2015,Everytime,LL/KS,Little Bay,8,100,Pot,12,LUTJSY,Lane Snapper,100,23,FL,0.43
6/18/2015,Everytime,LL/KS,Little Bay,8,100,Pot,12,LUTJSY,Lane Snapper,100,24,FL,0.27
6/18/2015,Everytime,LL/KS,Little Bay,8,100,Pot,12,LUTJSY,Lane Snapper,100,23.5,FL,0.21
6/18/2015,Everytime,LL/KS,Little Bay,8,100,Pot,12,LUTJSY,Lane Snapper,100,24,FL,0.2
6/18/2015,Everytime,LL/KS,Little Bay,8,100,Pot,12,LUTJSY,Lane Snapper,100,27,FL,0.3
6/18/2015,Everytime,LL/KS,Little Bay,8,100,Pot,12,LUTJSY,Lane Snapper,100,22,FL,0.15
6/18/2015,Everytime,LL/KS,Little Bay,8,100,Pot,12,LUTJSY,Lane Snapper,100,24.5,FL,0.21
6/18/2015,Everytime,LL/KS,Little Bay,8,100,Pot,12,LUTJSY,Lane Snapper,100,23,FL,0.19
6/18/2015,Everytime,LL/KS,Little Bay,8,100,Pot,12,LUTJSY,Lane Snapper,100,23,FL,0.18
6/18/2015,Miss France,LT/KS,Little Bay,10,50,line,1,LUTJVI,Silk Snapper,90,29.5,FL,
6/18/2015,Miss France,LL/KS,Little Bay,10,50,line,1,LUTJVI,Silk Snapper,90,26.5,FL,
6/18/2015,Miss France,LT/KS,Little Bay,10,50,line,1,LUTJVI,Silk Snapper,90,27,FL,
6/18/2015,Miss France,LL/KS,Little Bay,10,50,line,1,LUTJVI,Silk Snapper,90,26.5,FL,
6/18/2015,Miss France,LT/KS,Little Bay,10,50,line,1,LUTJVI,Silk Snapper,90,28.5,FL,
6/18/2015,Miss France,LL/KS,Little Bay,10,50,line,1,LUTJVI,Silk Snapper,90,27.5,FL,
6/18/2015,Miss France,LT/KS,Little Bay,10,50,line,1,LUTJVI,Silk Snapper,90,21,FL,
6/18/2015,Miss France,LL/KS,Little Bay,10,50,line,1,LUTJVI,Silk Snapper,90,23,FL,
6/20/2015,Lady Desemee,LT/KS,Little Bay,9,40,lines,,LUTJVI,Mahogany Snapper,100,25.5,FL,
6/20/2015,Lady Desemee,LT/KS,Little Bay,9,40,lines,,LUTJVI,Mahogany Snapper,100,25.5,FL,
6/20/2015,Lady Desemee,LT/KS,Little Bay,9,40,lines,,LUTJVI,Mahogany Snapper,100,25,FL,
6/20/2015,Lady Desemee,LT/KS,Little Bay,9,40,lines,,LUTJVI,Mahogany Snapper,100,22.5,FL,
6/20/2015,Lady Desemee,LT/KS,Little Bay,9,40,lines,,LUTJVI,Mahogany Snapper,100,26,FL,
6/20/2015,Lady Desemee,LT/KS,Little Bay,9,40,lines,,LUTJVI,Mahogany Snapper,100,29,FL,
6/20/2015,Lady Desemee,LT/KS,Little Bay,9,40,lines,,LUTJVI,Mahogany Snapper,100,25,FL,
6/20/2015,Lady Desemee,LT/KS,Little Bay,9,40,lines,,LUTJVI,Mahogany Snapper,100,24,FL,
6/20/2015,Lady Desemee,LT/KS,Little Bay,9,40,lines,,LUTJVI,Mahogany Snapper,100,19.5,FL,
6/20/2015,Optimum (Sheldon),LT/KS,Little Bay,South of Redondo,30,line,,LUTJVI,Silk Snapper,100,33.5,FL,
6/20/2015,Optimum (Sheldon),LT/KS,Little Bay,South of Redondo,30,line,,LUTJVI,Silk Snapper,100,30.5,TL,
6/20/2015,Optimum (Sheldon),LT/KS,Little Bay,South of Redondo,30,line,,LUTJVI,Silk Snapper,100,36,TL,
6/17/2015,Try me,KS/LL,Carr's Bay,"2,3",90,POT,26,LUTJSY,Lane Snapper,90,31,TL,
6/17/2015,Try me,KS/LL,Carr's Bay,"2,3",90,POT,26,LUTJSY,Lane Snapper,90,30.5,TL,
6/17/2015,Try me,KS/LL,Carr's Bay,"2,3",90,POT,26,LUTJSY,Lane Snapper,90,26,TL,
6/17/2015,Try me,KS/LL,Carr's Bay,"2,3",90,POT,26,LUTJSY,Lane Snapper,90,30,TL,
6/17/2015,Try me,KS/LL,Carr's Bay,"2,3",90,POT,26,LUTJSY,Lane Snapper,90,34,TL,
6/17/2015,Try me,KS/LL,Carr's Bay,"2,3",90,POT,26,LUTJSY,Lane Snapper,90,29.5,TL,
6/18/2015,Everytime,LL/KS,Little Bay,8,100,Pot,12,PTERVO,Lionfish,100,37,TL,
6/18/2015,Everytime,LL/KS,Little Bay,8,100,Pot,12,PTERVO,Lionfish,100,35,TL,
6/18/2015,Everytime,LL/KS,Little Bay,8,100,Pot,12,PTERVO,Lionfish,100,37,TL,
6/18/2015,Everytime,LL/KS,Little Bay,8,100,Pot,12,PTERVO,Lionfish,100,32,TL,
6/18/2015,Everytime,LL/KS,Little Bay,8,100,Pot,12,PTERVO,Lionfish,100,28,TL,
6/18/2015,Everytime,LL/KS,Little Bay,8,100,Pot,12,PTERVO,Lionfish,100,27,TL,
6/18/2015,Everytime,LL/KS,Little Bay,8,100,Pot,12,PTERVO,Lionfish,100,29,TL,
6/18/2015,Everytime,LL/KS,Little Bay,8,100,Pot,12,PTERVO,Lionfish,100,28,TL,
6/20/2015,Fred,KS/LT/AE,Little Bay,1 and 10,75,POT,20,SCARVI,Redtail Parrotfish,100,35,FL,
6/20/2015,Fred,KS/LT/AE,Little Bay,1 and 10,75,POT,20,SCARVI,Redtail Parrotfish,100,33,FL,
6/20/2015,Fred,KS/LT/AE,Little Bay,1 and 10,75,POT,20,SCARVI,Redtail Parrotfish,100,33.5,FL,
6/20/2015,Fred,KS/LT/AE,Little Bay,1 and 10,75,POT,20,SCARVI,Redtail Parrotfish,100,23,FL,
6/17/2015,Try me,KS/LL,Carr's Bay,"2,3",90,POT,26,SERRFU,Coney,90,28,TL,
6/17/2015,Try me,KS/LL,Carr's Bay,"2,3",90,POT,26,SERRFU,Coney,90,25,TL,
6/17/2015,Try me,KS/LL,Carr's Bay,"2,3",90,POT,26,SERRFU,Coney,90,25,TL,
6/17/2015,Try me,KS/LL,Carr's Bay,"2,3",90,POT,26,SERRFU,Coney,90,25,TL,
6/18/2015,Everytime,LL/KS,Little Bay,8,100,Pot,12,SERRFU,Coney,100,26,TL,0.24
6/18/2015,Everytime,LL/KS,Little Bay,8,100,Pot,12,SERRFU,Coney,100,27,TL,0.27
6/18/2015,Experience,LL/KS,Little Bay,6,30,pots,8,SERRFU,Coney,100,26,TL,
6/20/2015,Fred,KS/LT/AE,Little Bay,1 and 10,75,POT,20,SERRFU,Coney,100,20.5,TL,
6/20/2015,Fred,KS/LT/AE,Little Bay,1 and 10,75,POT,20,SERRFU,Coney,100,24,TL,
6/20/2015,Fred,KS/LT/AE,Little Bay,1 and 10,75,POT,20,SERRFU,Coney,100,24.5,TL,
6/20/2015,Fred,KS/LT/AE,Little Bay,1 and 10,75,POT,20,SERRFU,Coney,100,24.5,TL,
6/20/2015,Fred,KS/LT/AE,Little Bay,1 and 10,75,POT,20,SERRFU,Coney,100,22.5,TL,
6/20/2015,Fred,KS/LT/AE,Little Bay,1 and 10,75,POT,20,SERRFU,Coney,100,23,TL,
6/20/2015,Fred,KS/LT/AE,Little Bay,1 and 10,75,POT,20,SERRFU,Coney,100,25,TL,
6/20/2015,Fred,KS/LT/AE,Little Bay,1 and 10,75,POT,20,SERRFU,Coney,100,24,TL,
6/20/2015,Fred,KS/LT/AE,Little Bay,1 and 10,75,POT,20,SERRFU,Coney,100,22,TL,
6/20/2015,Fred,KS/LT/AE,Little Bay,1 and 10,75,POT,20,SERRFU,Coney,100,22.5,TL,
6/20/2015,Fred,KS/LT/AE,Little Bay,1 and 10,75,POT,20,SERRFU,Coney,100,23,TL,
6/16/2015,Try me,KS/AE,Carr's Bay,"2,3,4",90,POT,24,SERRGU,Red Hind,100,43,TL,
6/16/2015,Try me,KS/AE,Carr's Bay,"2,3,4",90,POT,24,SERRGU,Red Hind,100,33,TL,
6/16/2015,Try me,KS/AE,Carr's Bay,"2,3,4",90,POT,24,SERRGU,Red Hind,100,32,TL,
6/16/2015,Try me,KS/AE,Carr's Bay,"2,3,4",90,POT,24,SERRGU,Red Hind,100,28,TL,
6/16/2015,Try me,KS/AE,Carr's Bay,"2,3,4",90,POT,24,SERRGU,Red Hind,100,25.5,TL,
6/16/2015,Try me,KS/AE,Carr's Bay,"2,3,4",90,POT,24,SERRGU,Red Hind,100,30.5,TL,
6/16/2015,Try me,KS/AE,Carr's Bay,"2,3,4",90,POT,24,SERRGU,Red Hind,100,33.5,TL,
6/16/2015,Try me,KS/AE,Carr's Bay,"2,3,4",90,POT,24,SERRGU,Red Hind,100,29,TL,
6/16/2015,Try me,KS/AE,Carr's Bay,"2,3,4",90,POT,24,SERRGU,Red Hind,100,28,TL,
6/16/2015,Try me,KS/AE,Carr's Bay,"2,3,4",90,POT,24,SERRGU,Red Hind,100,32,TL,
6/16/2015,Try me,KS/AE,Carr's Bay,"2,3,4",90,POT,24,SERRGU,Red Hind,100,30.5,TL,0.36
6/16/2015,Try me,KS/AE,Carr's Bay,"2,3,4",90,POT,24,SERRGU,Red Hind,100,37,TL,0.67
6/16/2015,Try me,KS/AE,Carr's Bay,"2,3,4",90,POT,24,SERRGU,Red Hind,100,40,TL,0.92
6/16/2015,Try me,KS/AE,Carr's Bay,"2,3,4",90,POT,24,SERRGU,Red Hind,100,35.5,TL,0.6
6/16/2015,Try me,KS/AE,Carr's Bay,"2,3,4",90,POT,24,SERRGU,Red Hind,100,32,TL,0.43
6/17/2015,Try me,KS/LL,Carr's Bay,"2,3",90,POT,26,SERRGU,Red Hind,100,36,TL,
6/17/2015,Try me,KS/LL,Carr's Bay,"2,3",90,POT,26,SERRGU,Red Hind,100,38,TL,
6/17/2015,Try me,KS/LL,Carr's Bay,"2,3",90,POT,26,SERRGU,Red Hind,100,29.5,TL,
6/18/2015,Everytime,LL/KS,Little Bay,8,100,Pot,12,SERRGU,Red Hind,100,34,TL,0.47
6/18/2015,Everytime,LL/KS,Little Bay,8,100,Pot,12,SERRGU,Red Hind,100,29,TL,0.3
6/19/2015,John Allen,LT/KS,Carr's Bay,,,pot,,SERRGU,Red Hind,,25,TL,
6/19/2015,John Allen,LT/KS,Carr's Bay,,,pot,,SERRGU,Red Hind,,27.5,TL,
6/19/2015,John Allen,LT/KS,Carr's Bay,,,pot,,SERRGU,Red Hind,,35.5,TL,
6/19/2015,John Allen,LT/KS,Carr's Bay,,,pot,,SERRGU,Red Hind,,30.5,TL,
6/19/2015,John Allen,LT/KS,Carr's Bay,,,pot,,SERRGU,Red Hind,,27.5,TL,
6/19/2015,John Allen,LT/KS,Carr's Bay,,,pot,,SERRGU,Red Hind,,26,TL,
6/19/2015,John Allen,LT/KS,Carr's Bay,,,pot,,SERRGU,Red Hind,,27,TL,
6/19/2015,John Allen,LT/KS,Carr's Bay,,,pot,,SERRGU,Red Hind,,28.5,TL,
6/19/2015,John Allen,LT/KS,Carr's Bay,,,pot,,SERRGU,Red Hind,,31.5,TL,
6/19/2015,John Allen,LT/KS,Carr's Bay,,,pot,,SERRGU,Red Hind,,35.5,TL,
6/19/2015,John Allen,LT/KS,Carr's Bay,,,pot,,SERRGU,Red Hind,,31,TL,
6/19/2015,John Allen,LT/KS,Carr's Bay,,,pot,,SERRGU,Red Hind,,34,TL,
6/19/2015,John Allen,LT/KS,Carr's Bay,,,pot,,SERRGU,Red Hind,,28,TL,
6/19/2015,John Allen,LT/KS,Carr's Bay,,,pot,,SERRGU,Red Hind,,27.5,TL,
6/19/2015,John Allen,LT/KS,Carr's Bay,,,pot,,SERRGU,Red Hind,,31,TL,
6/19/2015,John Allen,LT/KS,Carr's Bay,,,pot,,SERRGU,Red Hind,,26,TL,
6/19/2015,John Allen,LT/KS,Carr's Bay,,,pot,,SERRGU,Red Hind,,31.5,TL,
6/19/2015,John Allen,LT/KS,Carr's Bay,,,pot,,SERRGU,Red Hind,,28,TL,
6/19/2015,John Allen,LT/KS,Carr's Bay,,,pot,,SERRGU,Red Hind,,33.5,TL,
6/19/2015,John Allen,LT/KS,Carr's Bay,,,pot,,SERRGU,Red Hind,,31,TL,
6/19/2015,John Allen,LT/KS,Carr's Bay,,,pot,,SERRGU,Red Hind,,30.5,TL,
6/19/2015,John Allen,LT/KS,Carr's Bay,,,pot,,SERRGU,Red Hind,,31,TL,
6/19/2015,John Allen,LT/KS,Carr's Bay,,,pot,,SERRGU,Red Hind,,32,TL,
6/19/2015,John Allen,LT/KS,Carr's Bay,,,pot,,SERRGU,Red Hind,,27.5,TL,
6/19/2015,Try me,LL/JA,Carr's Bay,2 and 3,1,pot,20,SERRGU,Red Hind,,32,TL,
6/20/2015,Fred,KS/LT/AE,Little Bay,1 and 10,75,POT,20,SERRGU,Red Hind,100,29,TL,
6/20/2015,Fred,KS/LT/AE,Little Bay,1 and 10,75,POT,20,SERRGU,Red Hind,100,34,TL,
6/20/2015,Fred,KS/LT/AE,Little Bay,1 and 10,75,POT,20,SERRGU,Red Hind,100,31,TL,
6/20/2015,Fred,KS/LT/AE,Little Bay,1 and 10,75,POT,20,SERRGU,Red Hind,100,31,TL,
6/20/2015,Fred,KS/LT/AE,Little Bay,1 and 10,75,POT,20,SERRGU,Red Hind,100,40,TL,
6/20/2015,Fred,KS/LT/AE,Little Bay,1 and 10,75,POT,20,SERRGU,Red Hind,100,33,TL,
6/20/2015,Fred,KS/LT/AE,Little Bay,1 and 10,75,POT,20,SERRGU,Red Hind,100,28,TL,
6/20/2015,Fred,KS/LT/AE,Little Bay,1 and 10,75,POT,20,SERRGU,Red Hind,100,36.5,TL,
6/20/2015,Fred,KS/LT/AE,Little Bay,1 and 10,75,POT,20,SERRGU,Red Hind,100,27,TL,
6/20/2015,Fred,KS/LT/AE,Little Bay,1 and 10,75,POT,20,SERRGU,Red Hind,100,34,TL,
6/20/2015,Fred,KS/LT/AE,Little Bay,1 and 10,75,POT,20,SERRGU,Red Hind,100,28,TL,
6/20/2015,Fred,KS/LT/AE,Little Bay,1 and 10,75,POT,20,SERRGU,Red Hind,100,38,TL,
6/20/2015,Fred,KS/LT/AE,Little Bay,1 and 10,75,POT,20,SERRGU,Red Hind,100,40,TL,
6/20/2015,Fred,KS/LT/AE,Little Bay,1 and 10,75,POT,20,SERRGU,Red Hind,100,32,TL,
6/20/2015,Fred,KS/LT/AE,Little Bay,1 and 10,75,POT,20,SERRGU,Red Hind,100,32.5,TL,
6/20/2015,Fred,KS/LT/AE,Little Bay,1 and 10,75,POT,20,SERRGU,Red Hind,100,36.5,TL,
6/20/2015,Fred,KS/LT/AE,Little Bay,1 and 10,75,POT,20,SERRGU,Red Hind,100,33,TL,
6/20/2015,Fred,KS/LT/AE,Little Bay,1 and 10,75,POT,20,SERRGU,Red Hind,100,26.5,TL,
6/20/2015,Fred,KS/LT/AE,Little Bay,1 and 10,75,POT,20,SERRGU,Red Hind,100,32.5,TL,
6/20/2015,Fred,KS/LT/AE,Little Bay,1 and 10,75,POT,20,SERRGU,Red Hind,100,32.5,TL,
6/20/2015,Fred,KS/LT/AE,Little Bay,1 and 10,75,POT,20,SERRGU,Red Hind,100,33,TL,
6/20/2015,Fred,KS/LT/AE,Little Bay,1 and 10,75,POT,20,SERRGU,Red Hind,100,37,TL,
6/20/2015,Fred,KS/LT/AE,Little Bay,1 and 10,75,POT,20,SERRGU,Red Hind,100,29,TL,
6/20/2015,Fred,KS/LT/AE,Little Bay,1 and 10,75,POT,20,SERRGU,Red Hind,100,30,TL,
6/20/2015,Fred,KS/LT/AE,Little Bay,1 and 10,75,POT,20,SERRGU,Red Hind,100,33,TL,
6/20/2015,Fred,KS/LT/AE,Little Bay,1 and 10,75,POT,20,SERRGU,Red Hind,100,32,TL,
6/20/2015,Fred,KS/LT/AE,Little Bay,1 and 10,75,POT,20,SERRGU,Red Hind,100,26,TL,
6/20/2015,Fred,KS/LT/AE,Little Bay,1 and 10,75,POT,20,SERRGU,Red Hind,100,26.5,TL,
6/20/2015,Fred,KS/LT/AE,Little Bay,1 and 10,75,POT,20,SERRGU,Red Hind,100,29,TL,
6/20/2015,Fred,KS/LT/AE,Little Bay,1 and 10,75,POT,20,SERRGU,Red Hind,100,32,TL,
6/20/2015,Fred,KS/LT/AE,Little Bay,1 and 10,75,POT,20,SERRGU,Red Hind,100,28,TL,
6/20/2015,Fred,KS/LT/AE,Little Bay,1 and 10,75,POT,20,SERRGU,Red Hind,100,37,TL,
6/20/2015,Fred,KS/LT/AE,Little Bay,1 and 10,75,POT,20,SERRGU,Red Hind,100,32.5,TL,
6/20/2015,Fred,KS/LT/AE,Little Bay,1 and 10,75,POT,20,SERRGU,Red Hind,100,31.5,TL,
6/20/2015,Fred,KS/LT/AE,Little Bay,1 and 10,75,POT,20,SERRGU,Red Hind,100,33.5,TL,
6/20/2015,Fred,KS/LT/AE,Little Bay,1 and 10,75,POT,20,SERRGU,Red Hind,100,29,TL,
6/20/2015,Lady Desemee,LT/KS,Little Bay,9,40,lines,,SERRGU,Red Hind,100,26,TL,
6/20/2015,Tommy,LT/KS,Little Bay,Yellow Hole,60,lines,,SERRGU,Red Hind,100,28,TL,
6/20/2015,Tommy,LT/KS,Little Bay,Yellow Hole,60,lines,,SERRGU,Red Hind,100,22,TL,
6/20/2015,Tommy,LT/KS,Little Bay,Yellow Hole,60,lines,,SERRGU,Red Hind,100,38.5,TL,
6/20/2015,Tommy,LT/KS,Little Bay,Yellow Hole,60,lines,,SERRGU,Red Hind,100,35.5,TL,
6/20/2015,Tommy,LT/KS,Little Bay,Yellow Hole,60,lines,,SERRGU,Red Hind,100,33.5,TL,
6/20/2015,Tommy,LT/KS,Little Bay,Yellow Hole,60,lines,,SERRGU,Red Hind,100,35.5,TL,
6/20/2015,Tommy,LT/KS,Little Bay,Yellow Hole,60,lines,,SERRGU,Red Hind,100,35.3,TL,
6/20/2015,Water Duck,KS/LT/AE,Little Bay,10,75,POT,7,SERRGU,Red Hind,50,37,TL,
6/20/2015,Water Duck,KS/LT/AE,Little Bay,10,,POT,7,SERRGU,Red Hind,50,33,TL,
6/20/2015,Water Duck,KS/LT/AE,Little Bay,10,,POT,7,SERRGU,Red Hind,50,29,TL,
6/20/2015,Water Duck,KS/LT/AE,Little Bay,10,,POT,7,SERRGU,Red Hind,50,34.5,TL,
6/20/2015,Water Duck,KS/LT/AE,Little Bay,10,,POT,7,SERRGU,Red Hind,50,30.5,TL,
6/20/2015,Water Duck,KS/LT/AE,Little Bay,10,,POT,7,SERRGU,Red Hind,50,28.5,TL,
6/20/2015,Water Duck,KS/LT/AE,Little Bay,10,,POT,7,SERRGU,Red Hind,50,39,TL,
6/20/2015,Water Duck,KS/LT/AE,Little Bay,10,,POT,7,SERRGU,Red Hind,50,28.5,TL,
6/20/2015,Water Duck,KS/LT/AE,Little Bay,10,,POT,7,SERRGU,Red Hind,50,32.5,TL,
6/20/2015,Water Duck,KS/LT/AE,Little Bay,10,,POT,7,SERRGU,Red Hind,50,33,TL,
6/20/2015,Water Duck,KS/LT/AE,Little Bay,10,,POT,7,SERRGU,Red Hind,50,29.5,TL,
6/20/2015,Water Duck,KS/LT/AE,Little Bay,10,,POT,7,SERRGU,Red Hind,50,31,TL,
6/21/2015,GOAT GUYS,LT/KS,Little Bay,PLYMOUTH,40,POT/LINE,,SERRGU,Red Hind,50,35,TL,
7/29/2015,Try Me,LL/RR,Carr's Bay,1,50,pots,15,SERRGU,Red Hind,80,31,TL,
7/29/2015,Try Me,LL/RR,Carr's Bay,1,50,pots,15,SERRGU,Red Hind,80,34,TL,
7/29/2015,Try Me,LL/RR,Carr's Bay,1,50,pots,15,SERRGU,Red Hind,80,28,TL,
7/29/2015,Try Me,LL/RR,Carr's Bay,1,50,pots,15,SERRGU,Red Hind,80,29.5,TL,
7/29/2015,Try Me,LL/RR,Carr's Bay,1,50,pots,15,SERRGU,Red Hind,80,27.5,TL,
7/29/2015,Try Me,LL/RR,Carr's Bay,1,50,pots,15,SERRGU,Red Hind,80,32,TL,
